PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Balashov, SV; Kipyatkov, VE				Balashov, S. V.; Kipyatkov, V. E.			The first proof of a possibility of change of temperature norms of insect development as a result of artificial selection for fast or slow development by the example of the red soldier bug Pyrrhocoris apterus (Heteroptera, Pyrrhocoridae)	JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY																Balashov, Sergey/B-1250-2015	Balashov, Sergey/0000-0002-0392-7317					1	1						0022-0930					APR	2008	44	2					190	197		10.1134/S0022093008020060								WOS:000257065200006						
J	Moribayashi, A; Hayashi, T; Taylor, D; Kurahashi, H; Kobayashi, M				Moribayashi, Atsuko; Hayashi, Toshihiko; Taylor, Demar; Kurahashi, Hiromu; Kobayashi, Mutsuo			Different responses to photoperiod in non-diapausing colonies of the flesh fly, Boettcherisca peregrina	PHYSIOLOGICAL ENTOMOLOGY																						3	3						0307-6962					MAR	2008	33	1					31	36		10.1111/j.1365-3032.2007.00597.x								WOS:000253044100005						
J	Wells, JD; Stevens, JR				Wells, Jeffrey D.; Stevens, Jamie R.			Application of DNA-based methods in forensic entomology	ANNUAL REVIEW OF ENTOMOLOGY	Annual Review of Entomology																					85	96						0066-4170	1545-4487					2008	53						103	120		10.1146/annurev.ento.52.110405.091423								WOS:000252684300007	17685848					
J	Bradshaw, WE; Holzapfel, CM				Bradshaw, W. E.; Holzapfel, C. M.			Genetic response to rapid climate change: it's seasonal timing that matters	MOLECULAR ECOLOGY					International Summit on Evolutionary Change in Human-Altered Environments	FEB 08-10, 2007	Inst Environm, Univ Calif Los Angeles, Los Angeles, CA		Inst Environm, Univ Calif Los Angeles													209	218						0962-1083					JAN	2008	17	1					157	166		10.1111/j.1365-294X.2007.03509.x								WOS:000251740500013	17850269					
J	Kelty, J				Kelty, Jonathan			Rapid cold-hardening of Drosophila melanogaster in a field setting	PHYSIOLOGICAL ENTOMOLOGY																						23	23						0307-6962					DEC	2007	32	4					343	350		10.1111/j.1365-3032.2007.00584.x								WOS:000250648700007						
J	Gomi, T				Gomi, Tadashi			Seasonal adaptations of the fall webworm Hyphantria cunea (Drury) (Lepidoptera : Arctiidae) following its invasion of Japan	ECOLOGICAL RESEARCH																						30	30						0912-3814					NOV	2007	22	6					855	861		10.1007/s11284-006-0327-y								WOS:000250834300002						
J	Musolin, DL				Musolin, Dmitry L.			Insects in a warmer world: ecological, physiological and life-history responses of true bugs (Heteroptera) to climate change	GLOBAL CHANGE BIOLOGY																Musolin, Dmitry/L-6801-2013	Musolin, Dmitry/0000-0002-3913-3674					112	132						1354-1013					AUG	2007	13	8					1565	1585		10.1111/j.1365-2486.2007.01395.x								WOS:000248959400003						
J	Kurban, A; Yoshida, H; Izumi, Y; Sonoda, S; Tsumuki, H				Kurban, A.; Yoshida, H.; Izumi, Y.; Sonoda, S.; Tsumuki, H.			Pupal diapause of Helicoverpa armigera (Lepidoptera : Noctuidae): sensitive stage for thermal induction in the Okayama (western Japan) population	BULLETIN OF ENTOMOLOGICAL RESEARCH																						10	11						0007-4853					JUN	2007	97	3					219	223		10.1017/S0007485307004956								WOS:000247565900001	17524153					
J	Garland, JA; Kevan, DKM				Garland, J. A.; Kevan, D. K. Mce.			Chrysopidae of Canada and Alaska ( Insecta, Neuroptera): revised checklist, new and noteworthy records, and geo-referenced localities	ZOOTAXA																						4	5						1175-5326	1175-5334				MAY 31	2007		1486					1	84										WOS:000246887500001						
J	Shiota, H; Kimura, MT				Shiota, Hiroaki; Kimura, Masahito T.			Evolutionary trade-offs between thermal tolerance and locomotor and developmental performance in drosophilid flies	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY																						4	4						0024-4066					FEB	2007	90	2					375	380		10.1111/j.1095-8312.2007.00738.x								WOS:000243909900013						
J	Shimizu, K; Fujisaki, K				Shimizu, Ken; Fujisaki, Kenji			Geographic variation in diapause induction under constant and changing conditions in Helicoverpa armigera	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA																						10	15						0013-8703					DEC	2006	121	3					253	260		10.1111/j.1570-8703.2006.00483.x								WOS:000241954100008						
J	Tachibana, SI; Numata, H				Tachibana, Shin-Ichiro; Numata, Hideharu			Seasonal prevalence of blowflies and flesh flies in Osaka City	ENTOMOLOGICAL SCIENCE																	Numata, Hideharu/0000-0003-3786-0701					9	10						1343-8786					DEC	2006	9	4					341	345		10.1111/j.1479-8298.2006.00179.x								WOS:000241563600001						
J	Oikawa, A; Mori, N; Kimura, MT				Oikawa, Ayako; Mori, Nobuhito; Kimura, Masahito T.			Comparison of oxygen consumption in drosophilid flies from different climates	ENTOMOLOGICAL SCIENCE																						3	3						1343-8786					DEC	2006	9	4					347	354		10.1111/j.1479-8298.2006.00180.x								WOS:000241563600002						
J	Norry, FM; Sambucetti, P; Scannapieco, AC; Loeschcke, V				Norry, F. M.; Sambucetti, P.; Scannapieco, A. C.; Loeschcke, V.			Altitudinal patterns for longevity, fecundity and senescence in Drosophila buzzatii	GENETICA																Loeschcke, Volker/J-2527-2013	Loeschcke, Volker/0000-0003-1450-0754					30	30						0016-6707					SEP	2006	128	1-3					81	93		10.1007/s10709-005-5537-7								WOS:000241139800009	17028942					
J	Xiao, HJ; Yang, D; Xue, FS				Xiao, Hai-Jun; Yang, Dong; Xue, Fang-Sen			Effect of photoperiod on the duration of summer and winter diapause in the cabbage butterfly, Pieris melete (Lepidoptera : Pieridae)	EUROPEAN JOURNAL OF ENTOMOLOGY																						10	13						1210-5759					JUL 3	2006	103	3					537	540		10.14411/eje.2006.071								WOS:000239752400005						
J	Shimizu, K; Shimizu, K; Fujisaki, K				Shimizu, K; Shimizu, K; Fujisaki, K			Timing of diapause induction and overwintering success in the cotton bollworm Helicoverpa armigera (Hb.) (Lepidoptera : Noctuidae) under outdoor conditions in temperate Japan	APPLIED ENTOMOLOGY AND ZOOLOGY																						11	13						0003-6862					FEB	2006	41	1					151	159		10.1303/aez.2006.151								WOS:000236831900020						
J	Ito, K				Ito, K			Development times under long- and short-day conditions in the Kanzawa spider mite Tetranychus kanzawai (Acari : Tetranychidae)	EXPERIMENTAL AND APPLIED ACAROLOGY																						2	2						0168-8162					DEC	2005	36	4					291	304		10.1007/s10493-005-6649-6								WOS:000231422200004	16132742					
J	Sinclair, BJ; Roberts, SP				Sinclair, BJ; Roberts, SP			Acclimation, shock and hardening in the cold	JOURNAL OF THERMAL BIOLOGY																Sinclair, Brent/C-6133-2012	Sinclair, Brent/0000-0002-8191-9910					82	85						0306-4565					DEC	2005	30	8					557	562		10.1016/j.jtherbio.2005.07.002								WOS:000233949000001						
J	Kurban, A; Yoshida, H; Immi, Y; Sonoda, S; Tsumuki, H				Kurban, A; Yoshida, H; Immi, Y; Sonoda, S; Tsumuki, H			Pupal diapause of Helicoverpa armigera: sensitive stage for photoperiodic induction	APPLIED ENTOMOLOGY AND ZOOLOGY																						11	14						0003-6862					AUG	2005	40	3					457	460		10.1303/aez.2005.457								WOS:000232563000010						
J	Sisodia, S; Singh, BN				Sisodia, S; Singh, BN			Behaviour genetics of Drosophila: Non-sexual behaviour	JOURNAL OF GENETICS																Marion-Poll, Frederic/D-8882-2011	Marion-Poll, Frederic/0000-0001-6824-0180					8	9						0022-1333					AUG	2005	84	2					195	216		10.1007/BF02715846								WOS:000231680800013	16131720					
J	Sukontason, KL; Methanitikorn, R; Kurahashi, H; Piangjai, S; Sukontason, K				Sukontason, KL; Methanitikorn, R; Kurahashi, H; Piangjai, S; Sukontason, K			Surface ultrastructure of prestomal teeth of some flies in the families Calliphoridae, Muscidae and Sarcophagidae	PARASITOLOGY RESEARCH																	Sukontason, Kom/0000-0002-2424-956X; L. Sukontason, Kabkaew/0000-0002-4820-290X					4	4						0932-0113	1432-1955				AUG	2005	96	6					410	412		10.1007/s00436-005-1357-z								WOS:000230833500011	15924225					
J	Hoffmann, AA; Shirriffs, J; Scott, M				Hoffmann, AA; Shirriffs, J; Scott, M			Relative importance of plastic vs genetic factors in adaptive differentiation: geographical variation for stress resistance in Drosophila melanogaster from eastern Australia	FUNCTIONAL ECOLOGY																Hoffmann, Ary/C-2961-2011						131	133						0269-8463					APR	2005	19	2					222	227		10.1111/j.1365-2435.2005.00959.x								WOS:000229370500004						
J	Macdonald, SS; Rako, L; Batterham, P; Hoffmann, AA				Macdonald, SS; Rako, L; Batterham, P; Hoffmann, AA			Dissecting chill coma recovery as a measure of cold resistance: evidence for a biphasic response in Drosophila melanogaster	JOURNAL OF INSECT PHYSIOLOGY																Batterham, Philip/G-5914-2012; Hoffmann, Ary/C-2961-2011	Batterham, Philip/0000-0001-9840-9119; 					39	39						0022-1910					AUG	2004	50	8					695	700		10.1016/j.jinsphys.2004.05.004								WOS:000223458800002	15288203					
J	Kimura, MT				Kimura, MT			Cold and heat tolerance of drosophilid flies with reference to their latitudinal distributions	OECOLOGIA																						125	128						0029-8549					AUG	2004	140	3					442	449		10.1007/s00442-004-1605-4								WOS:000223008700008	15221433					
J	Goto, SG; Kimura, MT				Goto, SG; Kimura, MT			Heat-shock-responsive genes are not involved in the adult diapause of Drosophila triauraria	GENE																Goto, Shin/K-2614-2015	Goto, Shin/0000-0002-4431-7531					47	57						0378-1119					FEB 4	2004	326						117	122		10.1016/j.gene.2003.10.017								WOS:000188818600012	14729269					
J	Barron, MC; Wratten, SD; Barlow, ND				Barron, MC; Wratten, SD; Barlow, ND			Phenology and parasitism of the red admiral butterfly Bassaris gonerilla (Lepidoptera : Nymphalidae)	NEW ZEALAND JOURNAL OF ECOLOGY																Wratten, Steve/J-3467-2013	Wratten, Steve/0000-0002-5168-8277					10	10						0110-6465						2004	28	1					105	111										WOS:000223581700010						
J	Gibbs, AG; Perkins, MC; Markow, TA				Gibbs, AG; Perkins, MC; Markow, TA			No place to hide: microclimates of sonoran desert Drosophila	JOURNAL OF THERMAL BIOLOGY																Gibbs, Allen/G-6939-2014; Gibbs, Allen/D-6968-2011						61	63						0306-4565					JUL	2003	28	5					353	362		10.1016/S0306-4565(03)00011-1								WOS:000183794100001						
J	Takahashi, H; Ueno, S; Katagiri, C				Takahashi, H; Ueno, S; Katagiri, C			Direct observation of the crystallization of fat in a Drosophila fly body by small- and wide-angle X-ray scattering	JOURNAL OF APPLIED CRYSTALLOGRAPHY					12th International Conference on Small-Angle Scattering	AUG 25-29, 2002	VENICE, ITALY															4	4						0021-8898					JUN	2003	36		3		1		545	548		10.1107/S0021889803001845								WOS:000182284400034						
J	Hansen, BW; Marker, T; Andreassen, P; Arashkewich, E; Carlotti, F; Lindeque, P; Tande, KS; Wagner, M				Hansen, BW; Marker, T; Andreassen, P; Arashkewich, E; Carlotti, F; Lindeque, P; Tande, KS; Wagner, M			Differences in life-cycle traits of Calanus finmarchicus originating from 60 degrees N and 69 degrees N, when reared in mesocosms at 69 degrees N	MARINE BIOLOGY																Hansen, Benni/K-3299-2015	Hansen, Benni/0000-0003-1145-561X					13	15						0025-3162					MAY	2003	142	5					877	893		10.1007/s00227-002-1004-5								WOS:000183724000006						
J	Hoffmann, AA; Sorensen, JG; Loeschcke, V				Hoffmann, AA; Sorensen, JG; Loeschcke, V			Adaptation of Drosophila to temperature extremes: bringing together quantitative and molecular approaches	JOURNAL OF THERMAL BIOLOGY																Hoffmann, Ary/C-2961-2011; Sorensen, Jesper/J-3190-2013; Loeschcke, Volker/J-2527-2013	Sorensen, Jesper/0000-0002-9149-3626; Loeschcke, Volker/0000-0003-1450-0754					559	598						0306-4565					APR	2003	28	3					175	216		10.1016/S0306-4565(02)00057-8								WOS:000182056600001						
J	Magiafoglou, A; Carew, ME; Hoffmann, AA				Magiafoglou, A; Carew, ME; Hoffmann, AA			Shifting clinal patterns and microsatellite variation in Drosophila serrata populations: a comparison of populations near the southern border of the species range	JOURNAL OF EVOLUTIONARY BIOLOGY																Hoffmann, Ary/C-2961-2011						57	59						1010-061X					SEP	2002	15	5					763	774		10.1046/j.1420-9101.2002.00439.x								WOS:000177589000009						
J	Tanaka, S				Tanaka, S			Temperature acclimation in overwintering nymphs of a cockroach, Periplaneta japonica: walking on ice	JOURNAL OF INSECT PHYSIOLOGY																						4	5						0022-1910					MAY	2002	48	5					571	583	PII S0022-1910(02)00077-X	10.1016/S0022-1910(02)00077-X								WOS:000177103000008						
J	Chown, SL; Addo-Bediako, A; Gaston, KJ				Chown, SL; Addo-Bediako, A; Gaston, KJ			Physiological variation in insects: large-scale patterns and their implications	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY					Symposium on Physiological and Biological Adaptations to Australasian and Southern African Environments	JUL 30-AUG 03, 2000	CAMBRIDGE, ENGLAND									Chown, Steven/H-3347-2011	Chown, Steven/0000-0001-6069-5105					84	86						1096-4959	1879-1107				APR	2002	131	4					587	602	PII S1096-4959(02)00017-9	10.1016/S1096-4959(02)00017-9								WOS:000174908100003	11923075					
J	Scriber, JM				Scriber, JM			Latitudinal and local geographic mosaics in host plant preferences as shaped by thermal units and voltinism in Papilio spp. (Lepidoptera)	EUROPEAN JOURNAL OF ENTOMOLOGY					4th European Workshop on Invertebrate Ecophysiology	SEP 09-14, 2001	ST PETERSBURG STATE UNIV, ST PETERSBURG, RUSSIA		ST PETERSBURG STATE UNIV													40	44						1210-5759						2002	99	2					225	239		10.14411/eje.2002.032								WOS:000177174200014						
J	Bale, JS; Masters, GJ; Hodkinson, ID; Awmack, C; Bezemer, TM; Brown, VK; Butterfield, J; Buse, A; Coulson, JC; Farrar, J; Good, JEG; Harrington, R; Hartley, S; Jones, TH; Lindroth, RL; Press, MC; Symrnioudis, I; Watt, AD; Whittaker, JB				Bale, JS; Masters, GJ; Hodkinson, ID; Awmack, C; Bezemer, TM; Brown, VK; Butterfield, J; Buse, A; Coulson, JC; Farrar, J; Good, JEG; Harrington, R; Hartley, S; Jones, TH; Lindroth, RL; Press, MC; Symrnioudis, I; Watt, AD; Whittaker, JB			Herbivory in global climate change research: direct effects of rising temperature on insect herbivores	GLOBAL CHANGE BIOLOGY																Jones, Thomas Hefin/A-4331-2010; Lindroth, Richard/A-8538-2009; Watt, Allan/A-4301-2010; Bezemer, Martijn/A-4068-2009	Lindroth, Richard/0000-0003-4587-7255; Watt, Allan/0000-0002-9534-728X; Bezemer, Martijn/0000-0002-2878-3479					917	1019						1354-1013					JAN	2002	8	1					1	16		10.1046/j.1365-2486.2002.00451.x								WOS:000173518600001						
J	Tauber, CA; Tauber, MJ; Albuquerque, GS				Tauber, CA; Tauber, MJ; Albuquerque, GS			Plesiochrysa brasiliensis (Neuroptera : Chrysopidae): Larval stages, biology, and taxonomic relationships	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA																Albuquerque, Gilberto/C-5907-2013						12	14						0013-8746					NOV	2001	94	6					858	865		10.1603/0013-8746(2001)094[0858:PBNCLS]2.0.CO;2								WOS:000172451400005						
J	Daibo, S; Kimura, MT; Goto, SG				Daibo, S; Kimura, MT; Goto, SG			Upregulation of genes belonging to the drosomycin family in diapausing adults of Drosophila triauraria	GENE																Goto, Shin/K-2614-2015	Goto, Shin/0000-0002-4431-7531					21	27						0378-1119					OCT 31	2001	278	1-2					177	184		10.1016/S0378-1119(01)00713-2								WOS:000172537000018	11707335					
J	Musolin, DL; Numata, H; Saulich, AH				Musolin, DL; Numata, H; Saulich, AH			Timing of diapause induction outside the natural distribution range of a species: an outdoor experiment with the bean bug Riptortus clavatus	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA																Musolin, Dmitry/L-6801-2013	Musolin, Dmitry/0000-0002-3913-3674; Numata, Hideharu/0000-0003-3786-0701					11	12						0013-8703					AUG	2001	100	2					211	219		10.1046/j.1570-7458.2001.00866.x								WOS:000170949900009						
J	Tauber, E; Kyriacou, BP				Tauber, E; Kyriacou, BP			Insect photoperiodism and circadian clocks: Models and mechanisms	JOURNAL OF BIOLOGICAL RHYTHMS																Tauber, Eran/F-9826-2011	Tauber, Eran/0000-0003-4018-6535					53	59						0748-7304					AUG	2001	16	4					381	390		10.1177/074873001129002088								WOS:000171600000008	11506382					
J	Chown, SL				Chown, SL			Physiological variation in insects: hierarchical levels and implications	JOURNAL OF INSECT PHYSIOLOGY																Chown, Steven/H-3347-2011	Chown, Steven/0000-0001-6069-5105					139	144						0022-1910	1879-1611				JUL 1	2001	47	7					649	660		10.1016/S0022-1910(00)00163-3								WOS:000168947400001						
J	Kelty, JD; Lee, RE				Kelty, JD; Lee, RE			Rapid cold-hardening of Drosophila melanogaster (Diptera : Drosophilidae) during ecologically based thermoperiodic cycles	JOURNAL OF EXPERIMENTAL BIOLOGY																						166	174						0022-0949					MAY	2001	204	9					1659	1666										WOS:000168771400013	11398755					
J	Gibert, P; Huey, RB				Gibert, P; Huey, RB			Chill-coma temperature in Drosophila: Effects of developmental temperature, latitude, and phylogeny	PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY																Huey, Raymond/F-1597-2010	Huey, Raymond/0000-0002-4962-8670					91	91						1522-2152					MAY-JUN	2001	74	3					429	434		10.1086/320429								WOS:000169015000014	11331516					
J	Baskauf, SJ; McCauley, DE				Baskauf, SJ; McCauley, DE			Evaluation of low temperature mortality as a range-limiting factor for the southwestern corn borer (Lepidoptera : Crambidae)	ENVIRONMENTAL ENTOMOLOGY																	Baskauf, Steve/0000-0003-4365-3135					7	7						0046-225X	1938-2936				APR	2001	30	2					181	188		10.1603/0046-225X-30.2.181								WOS:000168437900004						
J	Choi, KH; Kim, SR; Cho, ES; Yang, WJ; Jin, BR; Takeda, M; Shon, HD				Choi, KH; Kim, SR; Cho, ES; Yang, WJ; Jin, BR; Takeda, M; Shon, HD			Developmental and life history characteristics of the oyster mushroom fly, Coboldia fuscipes (Diptera : Scatopsidae)	APPLIED ENTOMOLOGY AND ZOOLOGY																						7	8						0003-6862					NOV	2000	35	4					495	498		10.1303/aez.2000.495								WOS:000165593600010						
J	Bradshaw, WE; Fujiyama, S; Holzapfel, CM				Bradshaw, WE; Fujiyama, S; Holzapfel, CM			Adaptation to the thermal climate of North America by the pitcher-plant mosquito, Wyeomyia smithii	ECOLOGY																						29	32						0012-9658					MAY	2000	81	5					1262	1272										WOS:000086795100007						
J	Lam, WKF; Pedigo, LP				Lam, WKF; Pedigo, LP			Cold tolerance of overwintering bean leaf beetles (Coleoptera : Chrysomelidae)	ENVIRONMENTAL ENTOMOLOGY																						13	14						0046-225X					APR	2000	29	2					157	163		10.1603/0046-225X(2000)029[0157:CTOOBL]2.0.CO;2								WOS:000089623200004						
J	Roy, DB; Sparks, TH				Roy, DB; Sparks, TH			Phenology of British butterflies and climate change	GLOBAL CHANGE BIOLOGY																Roy, David/A-6619-2009	Roy, David/0000-0002-5147-0331; Sparks, Tim/0000-0003-4382-7051					297	330						1354-1013					APR	2000	6	4					407	416		10.1046/j.1365-2486.2000.00322.x								WOS:000087420300004						
J	Goto, SG; Kitamura, HW; Kimura, MT				Goto, SG; Kitamura, HW; Kimura, MT			Phylogenetic relationships and climatic adaptations in the Drosophila takahashii and montium species subgroups	MOLECULAR PHYLOGENETICS AND EVOLUTION																Goto, Shin/K-2614-2015	Goto, Shin/0000-0002-4431-7531					30	31						1055-7903					APR	2000	15	1					147	156		10.1006/mpev.1999.0727								WOS:000086609600014	10764542					
J	Kemp, DJ				Kemp, DJ			The basis of life-history plasticity in the tropical butterfly Hypolimnas bolina (L.) (Lepidoptera : Nymphalidae)	AUSTRALIAN JOURNAL OF ZOOLOGY																	Kemp, Darrell/0000-0002-5845-5513					19	20						0004-959X						2000	48	1					67	78		10.1071/ZO99062								WOS:000085861400006						
J	Teng, HJ; Apperson, CS				Teng, HJ; Apperson, CS			Development and survival of immature Aedes albopictus and Aedes triseriatus (Diptera : Culicidae) in the laboratory: Effects of density, food, and competition on response to temperature	JOURNAL OF MEDICAL ENTOMOLOGY																						99	103						0022-2585					JAN	2000	37	1					40	52		10.1603/0022-2585-37.1.40								WOS:000089624900009	15218906					
J	Bryant, SR; Thomas, CD; Bale, JS				Bryant, SR; Thomas, CD; Bale, JS			Thermal ecology of gregarious and solitary nettle-feeding nymphalid butterfly larvae	OECOLOGIA																Thomas, Chris/A-1894-2012; Thomas, Chris/A-1460-2014	Thomas, Chris/0000-0003-2822-1334; Thomas, Chris/0000-0003-2822-1334					49	55						0029-8549					JAN	2000	122	1					1	10		10.1007/PL00008825								WOS:000084946900001	28307946					
J	Yoshida, T; Kimura, MT				Yoshida, T; Kimura, MT			Complex effects of thermoperiod and temperature pulse on the photoperiodic clock in Drosophila triauraria (Diptera : Drosophilidae)	APPLIED ENTOMOLOGY AND ZOOLOGY																						2	3						0003-6862					AUG	1999	34	3					303	308		10.1303/aez.34.303								WOS:000082481500005						
J	Ishihara, M; Shimada, M				Ishihara, M; Shimada, M			Geographical variation in photoperiodic response for diapause induction between univoltine and multivoltine populations of Kytorhinus sharpianus (Coleoptera : Bruchidae)	ENVIRONMENTAL ENTOMOLOGY																						9	12						0046-225X					APR	1999	28	2					195	200		10.1093/ee/28.2.195								WOS:000080061800008						
J	McWatters, HG; Saunders, DS				McWatters, HG; Saunders, DS			Maternal temperature has different effects on the photoperiodic response and duration of larval diapause in blow fly (Calliphora vicina) strains collected at two latitudes	PHYSIOLOGICAL ENTOMOLOGY																						20	22						0307-6962					DEC	1998	23	4					369	375		10.1046/j.1365-3032.1998.00101.x								WOS:000077360300010						
J	McGaw, MM; Chandler, LJ; Wasieloski, LP; Blair, CD; Beaty, BJ				McGaw, MM; Chandler, LJ; Wasieloski, LP; Blair, CD; Beaty, BJ			Effect of La Crosse virus infection on overwintering of Aedes triseriatus	AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE																						25	27						0002-9637					FEB	1998	58	2					168	175		10.4269/ajtmh.1998.58.168								WOS:000072256800011	9502600					
J	Nannini, MA; Juliano, SA				Nannini, MA; Juliano, SA			Effects of the facultative predator Anopheles barberi on population performance of its prey Aedes triseriatus (Diptera Culicidae)	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA																	Juliano, Steven/0000-0002-6178-4553					19	19						0013-8746	1938-2901				JAN	1998	91	1					33	42		10.1093/aesa/91.1.33								WOS:000073117200003						
J	Bryant, SR; Thomas, CD; Bale, JS				Bryant, SR; Thomas, CD; Bale, JS			Nettle-feeding nymphalid butterflies: temperature, development and distribution	ECOLOGICAL ENTOMOLOGY																Thomas, Chris/A-1894-2012; Thomas, Chris/A-1460-2014	Thomas, Chris/0000-0003-2822-1334; Thomas, Chris/0000-0003-2822-1334					48	53						0307-6946					NOV	1997	22	4					390	398		10.1046/j.1365-2311.1997.00082.x								WOS:A1997YK36200004						
J	McWatters, HG; Saunders, DS				McWatters, HG; Saunders, DS			Inheritance of the photoperiodic response controlling larval diapause in the blow fly, Calliphora vicina	JOURNAL OF INSECT PHYSIOLOGY																						18	20						0022-1910					AUG	1997	43	8					709	717		10.1016/S0022-1910(97)00051-6								WOS:A1997YA24200002						
J	Bradford, MJ; Roff, DA				Bradford, MJ; Roff, DA			An empirical model of diapause strategies of the cricket Allonemobius socius	ECOLOGY																						30	31						0012-9658					MAR	1997	78	2					442	451										WOS:A1997WN75400010						
J	Wegis, MC; Bradshaw, WE; Davison, TE; Holzapfel, CM				Wegis, MC; Bradshaw, WE; Davison, TE; Holzapfel, CM			Rhythmic components of photoperiodic time measurement in the pitcher-plant mosquito, Wyeomyia smithii	OECOLOGIA																						15	15						0029-8549					MAR	1997	110	1					32	39		10.1007/s004420050130								WOS:A1997WP45200005	28307466					
J	McWatters, HG; Saunders, DS				McWatters, HG; Saunders, DS			The influence of each parent and geographic origin on larval diapause in the blow fly, Calliphora vicina	JOURNAL OF INSECT PHYSIOLOGY																						23	25						0022-1910					AUG	1996	42	8					721	726		10.1016/0022-1910(96)00030-3								WOS:A1996VJ04900001						
J	Gomi, T; Takeda, M				Gomi, T; Takeda, M			Changes in life-history traits in the Fall Webworm within half a century of introduction to Japan	FUNCTIONAL ECOLOGY																						38	41						0269-8463					JUN	1996	10	3					384	389		10.2307/2390287								WOS:A1996VH86100011						
J	Gomi, T				Gomi, T			A mechanism for the decrease in developmental period of a trivoltine population of Hyphantria cunea (Lepidoptera: Arctiidae)	APPLIED ENTOMOLOGY AND ZOOLOGY																						13	17						0003-6862					MAY	1996	31	2					217	223		10.1303/aez.31.217								WOS:A1996UN10100005						
J	Riihimaa, A; Kimura, MT; Lumme, J; Lakovaara, S				Riihimaa, A; Kimura, MT; Lumme, J; Lakovaara, S			Geographical variation in the larval diapause of Chymomyza costata (Diptera; Drosophilidae)	HEREDITAS																						4	6						0018-0661						1996	124	2					151	163		10.1111/j.1601-5223.1996.00151.x								WOS:A1996VE93800007						
J	HANSON, SM; CRAIG, GB				HANSON, SM; CRAIG, GB			AEDES-ALBOPICTUS (DIPTERA, CULICIDAE) EGGS - FIELD SURVIVORSHIP DURING NORTHERN INDIANA WINTERS	JOURNAL OF MEDICAL ENTOMOLOGY																						43	48						0022-2585					SEP	1995	32	5					599	604		10.1093/jmedent/32.5.599								WOS:A1995RT60800006	7473614					
J	KIMURA, MT; YOSHIDA, T				KIMURA, MT; YOSHIDA, T			A GENETIC-ANALYSIS OF PHOTOPERIODIC REPRODUCTIVE DIAPAUSE IN DROSOPHILA-TRIAURARIA	PHYSIOLOGICAL ENTOMOLOGY																						16	16						0307-6962					SEP	1995	20	3					253	256		10.1111/j.1365-3032.1995.tb00009.x								WOS:A1995TH68100009						
J	BRADFORD, MJ; ROFF, DA				BRADFORD, MJ; ROFF, DA			GENETIC AND PHENOTYPIC SOURCES OF LIFE-HISTORY VARIATION ALONG A CLINE IN VOLTINISM IN THE CRICKET ALLONEMOBIUS-SOCIUS	OECOLOGIA																						35	37						0029-8549					AUG	1995	103	3					319	326		10.1007/BF00328620								WOS:A1995RR94800008	28306825					
J	YOSHIDA, T; KIMURA, MT				YOSHIDA, T; KIMURA, MT			RELATION OF THE CIRCADIAN SYSTEM TO THE PHOTOPERIODIC CLOCK IN DROSOPHILA-TRIAURARIA (DIPTERA, DROSOPHILIDAE) - AN APPROACH FROM ANALYSIS OF GEOGRAPHIC-VARIATION	APPLIED ENTOMOLOGY AND ZOOLOGY																						3	3						0003-6862					NOV	1994	29	4					499	505		10.1303/aez.29.499								WOS:A1994PV05300004						
J	THOMAS, JA; MOSS, D; POLLARD, E				THOMAS, JA; MOSS, D; POLLARD, E			INCREASED FLUCTUATIONS OF BUTTERFLY POPULATIONS TOWARDS THE NORTHERN EDGES OF SPECIES RANGES	ECOGRAPHY																Thomas, Jeremy/A-9619-2013						71	71						0906-7590					SEP	1994	17	3					215	220		10.1111/j.1600-0587.1994.tb00096.x								WOS:A1994QA62800002						
J	DINGLE, H; MOUSSEAU, TA				DINGLE, H; MOUSSEAU, TA			GEOGRAPHIC-VARIATION IN EMBRYONIC-DEVELOPMENT TIME AND STAGE OF DIAPAUSE IN A GRASSHOPPER	OECOLOGIA																	Mousseau, Timothy/0000-0002-2235-4868					29	39						0029-8549					MAR	1994	97	2					179	185		10.1007/BF00323147								WOS:A1994ND52000004	28313926					
